months,locoregional_control_pct
0.00,98.0066
0.35,98.0066
0.70,35.3821
1.06,35.0498
1.41,35.0498
1.76,34.5515
2.11,16.2791
2.46,16.2791
2.81,16.2791
3.17,16.2791
3.52,16.2791
3.87,16.2791
4.22,16.2791
4.57,16.2791
4.92,16.2791
5.28,16.2791
5.63,16.2791
5.98,16.2791
6.33,16.2791
6.68,16.2791
7.04,16.2791
7.39,16.2791
7.74,16.2791
8.09,16.2791
8.44,16.2791
8.79,16.2791
9.15,16.2791
9.50,16.2791
9.85,16.2791
10.20,16.2791
10.55,16.2791
10.90,16.2791
11.26,16.2791
11.61,16.2791
11.96,16.2791
12.31,16.2791
12.66,16.2791
13.02,16.2791
13.37,16.2791
13.72,16.2791
14.07,16.2791
14.42,16.2791
14.77,16.2791
15.13,16.2791
15.48,16.2791
15.83,16.2791
16.18,16.2791
16.53,16.2791
16.88,16.2791
17.24,16.2791
17.59,16.2791
17.94,16.2791
18.29,16.2791
18.64,16.2791
18.99,16.2791
19.35,16.2791
19.70,16.2791
20.05,16.2791
20.40,16.2791
20.75,16.2791
21.11,16.2791
21.46,16.2791
21.81,16.2791
22.16,16.2791
22.51,16.2791
22.86,16.2791
23.22,16.2791
23.57,16.2791
23.92,16.2791
24.27,16.2791
24.62,16.2791
24.97,16.2791
25.33,16.2791
25.68,16.2791
26.03,16.2791
26.38,16.2791
26.73,16.2791
27.09,16.2791
27.44,16.2791
27.79,16.2791
28.14,16.2791
28.49,16.2791
28.84,16.2791
29.20,16.2791
29.55,16.2791
29.90,16.2791
30.25,16.2791
30.60,16.2791
30.95,16.2791
31.31,16.2791
31.66,16.2791
32.01,16.2791
32.36,16.2791
32.71,16.2791
33.07,16.2791
33.42,16.2791
33.77,16.2791
34.12,16.2791
34.47,16.2791
34.82,16.2791
35.18,16.2791
35.53,16.2791
35.88,16.2791
36.23,16.2791
36.58,16.2791
36.93,16.2791
37.29,16.2791
37.64,16.2791
37.99,16.2791
38.34,16.2791
38.69,16.2791
39.05,16.2791
39.40,16.2791
39.75,16.2791
40.10,16.2791
40.45,16.2791
40.80,16.2791
41.16,16.2791
41.51,16.2791
41.86,16.2791
42.21,16.2791
42.56,16.2791
42.91,16.2791
43.27,16.2791
43.62,16.2791
43.97,16.2791
44.32,16.2791
44.67,16.2791
45.03,16.2791
45.38,16.2791
45.73,16.2791
46.08,16.2791
46.43,16.2791
46.78,16.2791
47.14,16.2791
47.49,16.2791
47.84,16.2791
48.19,16.2791
48.54,16.2791
48.89,16.2791
49.25,16.2791
49.60,16.2791
49.95,16.2791
50.30,16.2791
50.65,16.2791
51.01,16.2791
51.36,16.2791
51.71,16.2791
52.06,16.2791
52.41,16.2791
52.76,16.2791
53.12,16.2791
53.47,16.2791
53.82,16.2791
54.17,16.2791
54.52,16.2791
54.87,16.2791
55.23,16.2791
55.58,16.2791
55.93,16.2791
56.28,16.2791
56.63,16.2791
56.98,16.2791
57.34,16.2791
57.69,16.2791
58.04,16.2791
58.39,16.2791
58.74,16.2791
59.10,16.2791
59.45,16.2791
59.80,16.2791
60.15,16.2791
60.50,16.2791
60.85,16.2791
61.21,16.2791
61.56,16.2791
61.91,16.2791
62.26,16.2791
62.61,16.2791
62.96,16.2791
63.32,16.2791
63.67,16.2791
64.02,16.2791
64.37,16.2791
64.72,16.2791
65.08,16.2791
65.43,16.2791
65.78,16.2791
66.13,16.2791
66.48,16.2791
66.83,16.2791
67.19,16.2791
67.54,16.2791
67.89,16.2791
68.24,16.2791
68.59,16.2791
68.94,16.2791
69.30,16.2791
69.65,16.2791
70.00,16.2791
